t1,t2,d,k,approximation,fpt,approximation_time,fpt_time
"[3, 5, 5, 5, 7, None, 8, 8, 9, 2]","[3, 5, 5, 5, 3, None, 8, 6, 9, 2]",3,3,4,2,0.0002534231171011925,0.00031857495196163654
"[1, 8, 4, 8, 3, 4, 0, 1, None, 3]","[8, 4, 9, 4, None, 8, 0, 1, 3, 3]",3,3,7,3,0.00021789711900055408,0.03909481409937143
"[5, 4, None, 1, 8, 9, 7, 0, 7, 2]","[5, 2, 8, 4, None, 3, 7, 0, 7, 1]",3,3,5,2,0.00024851388297975063,0.008500810945406556
"[6, 5, 8, 5, 8, 7, 8, None, 9, 1]","[6, 9, 4, 5, 3, 7, 8, None, 1, 5]",3,3,7,3,0.0002540550194680691,0.03865946992300451
"[6, 3, None, 5, 9, 2, 8, 1, 1, 5]","[2, 7, None, 1, 9, 2, 8, 5, 1, 5]",3,3,8,2,0.00026376289315521717,0.0003367189783602953
"[1, 2, 8, 1, 7, None, 5, 1, 5, 8]","[1, 4, 5, 1, 2, None, 5, 1, 7, 2]",3,3,9,2,0.0002483939751982689,0.008779372088611126
"[9, 0, None, 9, 1, 0, 1, 4, 3, 2]","[None, 2, 9, 9, 1, 2, 1, 6, 5, 0]",3,3,7,3,0.0002223649062216282,0.038366992957890034
"[1, 3, 4, None, 0, 2, 4, 6, 9, 4]","[1, 3, 9, None, 0, 6, 4, 6, 9, 4]",3,3,6,2,0.0002452491316944361,0.0003226730041205883
"[3, None, 0, 7, 8, 6, 1, 1, 6, 7]","[3, None, 7, 1, 8, 6, 1, 3, 6, 3]",3,3,6,3,0.00025264290161430836,0.0392819840926677
"[None, 2, 0, 4, 8, 2, 5, 2, 1, 6]","[None, 6, 0, 4, 5, 2, 2, 5, 1, 7]",3,3,8,3,0.00023294496349990368,0.04016493493691087
"[3, 9, 0, 4, None, 4, 0, 0, 9, 2]","[3, 2, 0, 4, None, 4, 0, 0, 4, 2]",3,3,4,2,0.00022217491641640663,0.0003218508791178465
"[8, 8, 7, 2, 2, 9, 0, 1, None, 8]","[8, 2, 3, 7, 2, 9, 0, 6, None, 8]",3,3,5,3,0.0002375938929617405,0.038720694836229086
"[7, 3, 0, 2, 3, 0, None, 6, 0, 6]","[9, 3, 0, 2, 3, 0, None, 0, 0, 6]",3,3,3,2,0.00023854593746364117,0.00032349396497011185
"[5, 0, 5, 2, 1, 9, 5, 6, 2, None]","[3, 0, 7, 2, 1, 9, 5, 6, 2, None]",3,3,6,2,0.0002470109611749649,0.0003307790029793978
"[5, 7, 5, 1, 7, 1, 3, None, 7, 4]","[5, 8, 5, 1, 7, 1, 3, 6, None, 4]",3,3,2,3,0.00025784200988709927,0.03931559599004686
"[2, 4, 9, 0, 5, None, 0, 3, 2, 1]","[7, 4, 3, 4, 9, 1, 0, 5, 7, None]",3,3,7,3,0.0002345680259168148,0.03914001886732876
"[2, 6, 6, 7, 6, 9, None, 0, 4, 7]","[6, 8, 4, 9, 8, 7, 8, 0, None, 7]",3,3,8,3,0.0002176270354539156,0.5487715268973261
"[9, 3, 4, None, 6, 2, 3, 5, 9, 5]","[9, 4, 4, None, 6, 6, 3, 5, 5, 5]",3,3,9,3,0.00022933795116841793,0.039126554038375616
"[1, 6, 6, 4, 7, 9, None, 5, 9, 6]","[1, 2, 9, 4, 2, 6, 9, 5, 6, None]",3,3,8,3,0.00023932685144245625,0.03887576493434608
"[5, 0, 4, None, 0, 3, 2, 5, 0, 0]","[6, 4, 7, None, 0, 3, 2, 5, 0, 0]",3,3,5,3,0.0002199311275035143,0.03884700103662908
"[4, 3, 0, 2, 8, None, 4, 0, 5, 4]","[1, 8, 0, None, 5, 2, 0, 1, 3, 1]",3,3,8,3,0.0002292089629918337,0.32652597897686064
"[None, 3, 5, 9, 6, 0, 3, 2, 3, 5]","[None, 3, 5, 9, 3, 0, 3, 2, 6, 5]",3,3,6,1,0.00023571099154651165,0.0002495869994163513
"[None, 2, 6, 8, 3, 7, 0, 2, 1, 8]","[None, 2, 6, 4, 6, 7, 0, 2, 3, 7]",3,3,7,3,0.00024067005142569542,0.03841202799230814
"[5, 3, 1, 9, 5, 1, 2, 5, 6, None]","[5, 3, 1, 6, 7, 1, None, 5, 5, 2]",3,3,9,3,0.00025244196876883507,0.03888662508688867
"[5, 7, 9, 5, None, 2, 5, 4, 0, 1]","[9, 3, 5, 4, None, 0, 5, 5, 4, 1]",3,3,9,3,0.00022770604118704796,0.03864545398391783
"[2, 2, 6, 2, 1, 0, 8, None, 7, 7]","[8, 0, 0, 0, 1, 2, 7, None, 6, 0]",3,3,7,3,0.00022252602502703667,0.04002736788243055
"[3, 0, 0, 4, None, 8, 5, 3, 1, 1]","[3, 9, 1, 4, None, 8, 3, 5, 9, 0]",3,3,7,3,0.00023749400861561298,0.03924664808437228
"[2, 6, 4, 2, None, 9, 7, 3, 7, 6]","[2, 5, 4, 2, None, 8, 7, 3, 7, 7]",3,3,6,3,0.0002500468399375677,0.039968947879970074
"[5, None, 6, 5, 8, 1, 5, 2, 7, 7]","[5, None, 3, 5, 3, 1, 5, 2, 7, 7]",3,3,8,2,0.00024645100347697735,0.00032527814619243145
"[7, 2, 3, 5, 1, None, 9, 2, 6, 4]","[9, 2, 3, 5, 1, None, 2, 0, 0, 4]",3,3,7,3,0.00026127882301807404,0.03848859085701406
"[5, None, 7, 8, 7, 1, 0, 6, 5, 7]","[8, None, 8, 2, 7, 7, 0, 6, 1, 7]",3,3,8,2,0.0002453878987580538,0.008675377815961838
"[7, 7, 4, 1, 6, 6, None, 5, 5, 2]","[7, 7, 7, 0, 8, 8, 5, 5, None, 2]",3,3,6,3,0.0002601670566946268,0.03927604202181101
"[1, None, 3, 0, 2, 4, 8, 1, 7, 1]","[2, None, 7, 1, 8, 4, 3, 1, 6, 1]",3,3,6,3,0.00023909681476652622,0.09245357220061123
