t1,t2,d,k,approximation,ftp
"[3, 11, 8, 16, 14, 16, 19, 18, 17, 16, 4, 12, 15, 1, 2, 19, 19, 3, 2, None]","[3, 11, 8, 16, 14, 16, 19, 18, 0, 16, 4, 12, 15, 2, 2, 19, 19, 3, 2, None]",3,3,3,2
"[5, 7, 10, 17, 8, 9, 11, 18, None, 1, 3, 2, 17, 18, 7, 8, 17, 5, 15, 5]","[1, 9, 10, 17, 19, 7, 11, 18, 19, 5, 3, 2, 17, 18, 7, 1, 17, 1, 8, None]",3,3,10,3
"[2, 9, 5, 8, 16, 13, 13, 9, 15, None, 5, 0, 14, 18, 10, 7, 10, 18, 1, 8]","[2, 14, 5, 8, 13, 19, 16, 14, 15, 10, 5, 0, 9, 18, None, 7, 10, 18, 1, 8]",3,3,12,3
"[10, 3, 16, 5, None, 4, 13, 8, 16, 19, 19, 10, 11, 7, 0, 13, 4, 6, 6, 8]","[14, 3, 16, 5, None, 4, 13, 8, 16, 19, 13, 10, 11, 7, 6, 13, 4, 6, 0, 8]",3,3,5,3
"[1, 10, 3, 15, 15, 2, 0, 6, 16, 3, 14, 2, 19, None, 3, 13, 17, 0, 0, 2]","[1, 10, 3, 15, 15, 2, 0, 16, 6, 3, 14, 2, 19, None, 3, 13, 17, 0, 6, 3]",3,3,9,3
"[19, 15, 9, 5, 12, 11, 17, 2, 2, 17, 11, 14, 16, 19, 2, 18, 7, None, 6, 7]","[10, 15, 9, 5, 12, 11, 17, 2, 2, 17, 11, 14, 16, 12, 2, 13, 7, None, 19, 7]",3,3,10,3
"[9, 8, None, 11, 13, 15, 16, 4, 0, 5, 13, 5, 9, 18, 19, 2, 18, 2, 2, 13]","[9, 18, None, 15, 13, 11, 16, 4, 2, 5, 13, 2, 9, 8, 19, 5, 8, 2, 0, 7]",3,3,13,3
"[15, 2, 14, 15, 9, 14, 1, 0, 9, 6, 9, 14, 3, 10, None, 4, 3, 12, 13, 4]","[15, 6, 1, 15, 9, 14, 14, 5, 9, 2, 9, 14, 3, 10, None, 4, 12, 3, 13, 4]",3,3,10,3
"[4, 12, 5, 1, 6, 17, 17, 19, 5, 6, 13, 10, None, 15, 16, 19, 2, 3, 11, 17]","[4, 12, 19, 1, 16, 17, 2, 5, 19, 16, 11, 18, None, 15, 6, 5, 17, 3, 13, 17]",3,3,15,3
"[18, 8, 12, None, 7, 4, 4, 3, 10, 15, 0, 5, 1, 6, 18, 2, 11, 1, 3, 3]","[8, 18, 15, None, 7, 4, 4, 3, 10, 2, 1, 5, 0, 6, 18, 12, 11, 0, 3, 3]",3,3,11,2
