t1,t2,d,k,approximation,fpt,approximation_time,fpt_time
"[None, 7, 6, 1, 7, 2, 0, 6, 5, 1]","[None, 6, 6, 4, 7, 3, 0, 2, 5, 5]",6,6,7,5,0.00016646110452711582,0.1691401652060449
"[8, 4, 3, None, 2, 7, 4, 2, 4, 8]","[1, 3, 7, None, 1, 7, 4, 1, 4, 6]",6,6,10,5,0.0001799368765205145,0.17375962086953223
"[None, 0, 1, 7, 1, 4, 7, 5, 0, 3]","[None, 0, 8, 8, 1, 4, 2, 8, 0, 1]",6,6,5,5,0.00015357695519924164,0.16584934294223785
"[2, 5, None, 9, 6, 7, 7, 2, 0, 1]","[9, 5, 7, 9, 6, 2, 2, None, 5, 2]",6,6,7,5,0.00018079811707139015,0.17725042602978647
"[9, 4, 7, 7, None, 4, 8, 4, 7, 8]","[9, 8, 1, 0, None, 4, 4, 6, 6, 8]",6,6,7,6,0.0001833220012485981,1.3586089748423547
"[6, 7, 5, None, 2, 8, 3, 5, 0, 1]","[7, 0, 5, None, 8, 8, 3, 5, 9, 6]",6,6,8,4,0.00016950699500739574,0.018122148932889104
"[3, 7, 4, 2, None, 0, 5, 0, 9, 6]","[3, 7, 4, 2, None, 1, 7, 0, 4, 0]",6,6,3,4,0.00017844303511083126,0.01815348700620234
"[4, 4, 6, 2, 7, 3, 0, 9, 9, None]","[6, 6, 8, 4, 7, 3, 4, 9, 9, None]",6,6,8,5,0.0001808579545468092,0.1734508730005473
"[3, 7, 5, 7, None, 3, 3, 4, 9, 6]","[3, 7, 4, 5, 3, None, 2, 5, 7, 0]",6,6,8,6,0.00016791420057415962,1.3799917160067707
"[1, 2, 8, 4, None, 1, 7, 3, 3, 6]","[2, 8, 5, 6, 1, 3, None, 3, 7, 8]",6,6,9,6,0.00016941712237894535,1.3557253570761532
"[1, 3, 8, 9, None, 0, 4, 5, 6, 4]","[6, 9, 8, 5, None, 9, 4, 3, 0, 4]",6,6,7,6,0.00017198221758008003,1.3372179551515728
"[6, 9, 7, 5, 1, 6, 9, 8, 9, None]","[2, 9, 9, 1, 2, 2, 9, 5, 7, None]",6,6,11,6,0.00017190189100801945,1.3469578921794891
"[1, 7, 4, 8, 1, 6, 8, 9, 0, None]","[5, 5, 4, 8, 1, 9, 8, 1, 7, None]",6,6,5,4,0.00017953594215214252,0.018686964875087142
"[1, 7, 7, 6, 7, 7, 5, None, 2, 3]","[4, 7, 7, 0, 7, 1, 7, None, 9, 3]",6,6,11,5,0.00017377501353621483,0.17600287194363773
"[2, 8, 6, 4, 5, None, 3, 2, 6, 6]","[2, 8, 6, None, 3, 0, 9, 2, 9, 4]",6,6,5,5,0.0001913278829306364,0.17290966003201902
"[3, 7, 8, 2, 3, 2, 4, 4, None, 7]","[None, 4, 0, 2, 3, 2, 8, 0, 3, 7]",6,6,6,5,0.00016331509687006474,0.17239437578245997
"[5, 3, 8, 2, 0, 9, 9, 6, None, 8]","[8, 9, 6, 2, 0, 0, None, 1, 9, 6]",6,6,8,5,0.00016721314750611782,0.1863029079977423
"[6, 6, 1, 0, 8, None, 5, 8, 2, 7]","[6, 6, 1, 8, 8, None, 5, 8, 6, 0]",6,6,4,3,0.00015377788804471493,0.0012986469082534313
"[6, 3, 4, 8, 1, 6, 8, 9, None, 3]","[6, 0, 3, 7, 6, 8, 8, 9, None, 5]",6,6,8,5,0.00018922402523458004,0.17441916093230247
"[None, 9, 0, 6, 2, 0, 2, 6, 0, 8]","[9, 5, 6, 6, 3, 7, 1, None, 7, 8]",6,6,6,6,0.00018236087635159492,1.4080810330342501
"[None, 2, 6, 5, 3, 1, 0, 9, 1, 1]","[9, None, 6, 0, 7, 2, 1, 3, 5, 5]",6,6,8,6,0.00016928697004914284,1.379170092055574
"[2, 4, 5, 2, None, 1, 3, 6, 3, 6]","[2, 8, 5, 2, 6, 1, 2, 6, None, 3]",6,6,9,4,0.00018501607701182365,0.0183987261261791
"[9, 6, 8, 7, 5, None, 4, 5, 0, 4]","[9, None, 6, 6, 1, 6, 4, 1, 2, 4]",6,6,9,5,0.0001837529707700014,0.17560016782954335
"[8, 2, 6, 5, 6, 8, None, 6, 6, 4]","[8, 9, 6, 6, 6, 8, None, 2, 6, 7]",6,6,8,4,0.0001586470752954483,0.01699178502894938
"[3, 5, 9, 2, 6, 3, 2, None, 9, 7]","[2, 5, 9, 6, 6, 4, 2, None, 7, 7]",6,6,8,4,0.00016640103422105312,0.017315059900283813
"[9, 0, 8, 4, 7, 9, 2, 0, 5, None]","[3, 7, 8, 7, 9, 9, 2, 2, 5, None]",6,6,5,5,0.00018286099657416344,0.16489475406706333
"[6, 0, 1, 9, 6, 2, 9, 0, 5, None]","[8, 0, 0, 8, 5, 2, 9, 2, 6, None]",6,6,7,6,0.00014189607463777065,1.3320381450466812
"[9, 7, 1, 4, 5, 8, 8, 6, None, 8]","[9, 7, 4, 5, 8, None, 5, 6, 7, 5]",6,6,7,5,0.0001890929415822029,0.17570421285927296
"[8, 0, 1, 8, 0, 0, 5, 1, None, 8]","[1, 7, 1, 9, 3, 7, 7, 8, None, 8]",6,6,8,5,0.00016908603720366955,0.1723855680320412
"[8, 6, 3, 4, None, 2, 0, 3, 2, 1]","[3, 8, 6, 4, None, 0, 1, 3, 0, 4]",6,6,8,4,0.00016829394735395908,0.0186785280238837
"[4, 7, 3, 9, None, 0, 3, 8, 4, 4]","[4, 7, 0, 7, None, 3, 2, 4, 4, 4]",6,6,8,5,0.00014975015074014664,0.16610112902708352
"[2, 2, 5, 5, 7, None, 3, 2, 3, 8]","[2, 0, 5, 5, 6, None, 2, 4, 3, 8]",6,6,5,4,0.00019104708917438984,0.017929157940670848
"[7, 5, 6, 2, 0, 6, 7, 8, None, 1]","[None, 5, 7, 7, 2, 6, 7, 0, 3, 1]",6,6,5,5,0.0001745161134749651,0.16902598715387285
"[5, None, 9, 4, 1, 4, 3, 9, 2, 6]","[8, 2, None, 1, 9, 1, 2, 9, 3, 6]",6,6,8,6,0.00018770084716379642,1.4099558140151203
"[7, 7, None, 1, 3, 8, 3, 2, 9, 2]","[9, 7, None, 5, 3, 0, 3, 2, 7, 2]",6,6,7,3,0.0001606210134923458,0.001349112018942833
"[5, 2, 0, 5, 5, 6, 9, 3, 6, None]","[6, 2, 0, 7, 6, 3, 7, 9, 1, None]",6,6,9,5,0.00017883512191474438,0.18136262986809015
"[8, 6, 8, 7, None, 8, 7, 8, 4, 1]","[9, 0, 8, 5, None, 8, 1, 8, 4, 4]",6,6,10,5,0.00017773290164768696,0.17827647901140153
"[9, 8, None, 4, 6, 4, 1, 9, 2, 8]","[5, None, 8, 8, 6, 4, 2, 9, 1, 6]",6,6,8,5,0.00016897590830922127,0.18077180511318147
"[None, 0, 7, 0, 9, 1, 7, 8, 4, 5]","[None, 0, 1, 0, 9, 1, 4, 6, 9, 0]",6,6,7,5,0.00014544185250997543,0.16670670080929995
"[9, 0, 4, None, 3, 8, 1, 5, 3, 3]","[9, 0, 6, 2, 8, None, 1, 0, 5, 5]",6,6,7,6,0.00019598612561821938,1.3857738301157951
"[4, 9, None, 9, 8, 0, 9, 8, 1, 2]","[2, 3, 8, 9, None, 9, 3, 8, 1, 4]",6,6,7,5,0.00017864396795630455,0.1861018978524953
"[6, 7, None, 4, 7, 4, 2, 2, 0, 4]","[6, 2, 4, 7, None, 7, 4, 2, 2, 1]",6,6,7,5,0.00017131096683442593,0.1784468579571694
"[None, 7, 3, 0, 0, 2, 2, 4, 9, 4]","[None, 9, 8, 0, 0, 1, 8, 4, 3, 3]",6,6,8,6,0.0001688450574874878,1.3355601239018142
"[5, None, 9, 6, 6, 2, 1, 2, 1, 1]","[6, None, 9, 2, 6, 0, 8, 9, 1, 1]",6,6,9,5,0.00015519000589847565,0.16627711593173444
"[None, 4, 5, 7, 0, 8, 0, 0, 0, 6]","[None, 6, 5, 6, 0, 7, 0, 0, 0, 4]",6,6,4,4,0.00014386908151209354,0.01742397411726415
"[None, 9, 0, 0, 0, 6, 2, 2, 4, 8]","[8, 7, None, 4, 2, 6, 0, 0, 4, 2]",6,6,5,6,0.00017889495939016342,1.3656252960208803
"[9, 5, 4, 2, 6, None, 9, 2, 1, 5]","[5, 0, 4, 0, 9, None, 5, 2, 0, 6]",6,6,8,6,0.0001815292052924633,1.3986997450701892
"[6, 2, 5, 1, 9, None, 2, 3, 4, 2]","[2, None, 1, 4, 9, 2, 2, 3, 9, 2]",6,6,11,5,0.00016283500008285046,0.1728657630737871
"[5, 4, 5, 7, 5, 9, 0, 0, 4, None]","[6, 4, 5, 7, 9, 9, 2, 9, 4, None]",6,6,3,4,0.00017830287106335163,0.017944996943697333
"[6, 9, 0, 0, 7, 9, None, 2, 4, 2]","[6, 0, 7, 0, 8, 9, None, 1, 6, 1]",6,6,7,5,0.00017480622045695782,0.17846509092487395
"[None, 0, 7, 6, 1, 6, 9, 1, 2, 1]","[None, 0, 4, 1, 1, 7, 9, 1, 5, 2]",6,6,10,5,0.0001657400280237198,0.17398601700551808
"[7, 0, 0, None, 6, 4, 1, 3, 3, 1]","[3, 0, 0, 7, 6, 3, 1, None, 4, 4]",6,6,6,5,0.00015981891192495823,0.17951994319446385
"[None, 0, 8, 6, 7, 0, 0, 5, 0, 8]","[None, 0, 8, 1, 7, 1, 5, 3, 0, 7]",6,6,4,5,0.0001656289678066969,0.17304044007323682
"[3, 4, 3, 6, None, 0, 4, 0, 6, 5]","[6, 0, 3, 6, None, 1, 4, 0, 6, 3]",6,6,7,4,0.00015693297609686852,0.01808016002178192
"[9, 8, None, 5, 5, 1, 4, 9, 2, 2]","[9, 5, None, 5, 9, 7, 0, 8, 2, 2]",6,6,8,4,0.00018090801313519478,0.018023082986474037
"[2, 5, 9, 2, 2, None, 4, 8, 6, 1]","[7, 5, 1, 2, 2, None, 2, 6, 4, 1]",6,6,9,5,0.00018327194266021252,0.17958281002938747
"[6, 4, 0, 0, 5, 9, 9, 0, 2, None]","[None, 4, 9, 4, 5, 0, 5, 9, 2, 6]",6,6,5,4,0.000177331967279315,0.018899641931056976
"[7, 8, 5, 8, None, 8, 8, 2, 4, 1]","[7, 8, 8, None, 1, 8, 8, 8, 3, 5]",6,6,10,5,0.00016261404380202293,0.17204983695410192
"[4, 7, 3, 0, 7, 4, 7, 9, None, 8]","[9, 0, 3, 7, 1, 6, 2, 4, None, 8]",6,6,7,5,0.00016902596689760685,0.17578361695632339
"[None, 0, 0, 0, 1, 0, 7, 3, 0, 8]","[9, 3, 9, None, 1, 3, 7, 1, 4, 8]",6,6,2,6,0.00018939399160444736,1.3601377261802554
"[2, 0, 3, 7, 9, 0, 7, 8, 9, None]","[2, 7, 8, 9, 9, 0, 7, 2, 9, None]",6,6,8,4,0.0001652589999139309,0.01817043893970549
"[5, None, 7, 8, 8, 1, 2, 0, 5, 6]","[3, None, 1, 1, 8, 8, 7, 0, 3, 8]",6,6,9,5,0.00016008899547159672,0.1786989571992308
"[4, None, 1, 4, 5, 1, 8, 1, 5, 6]","[4, None, 1, 2, 5, 1, 2, 1, 9, 3]",6,6,7,4,0.00016391603276133537,0.01696743001230061
"[4, 2, 8, 6, 7, 6, 8, None, 4, 0]","[4, 8, 8, 6, 9, 6, 8, 0, 0, None]",6,6,6,4,0.0001791438553482294,0.018659683177247643
"[5, 8, 0, 1, None, 4, 7, 3, 0, 4]","[2, 8, 6, 1, None, 4, 5, 3, 6, 2]",6,6,5,4,0.0002099219709634781,0.019367857137694955
"[8, 6, 5, 4, None, 0, 9, 8, 3, 4]","[8, 6, 0, 4, None, 8, 0, 8, 3, 6]",6,6,5,4,0.00018136901780962944,0.01835805899463594
"[8, 2, 8, 1, 1, None, 4, 0, 5, 0]","[8, 0, 7, 2, 8, None, 3, 8, 5, 0]",6,6,8,5,0.00017329398542642593,0.1778177791275084
"[9, 0, 1, 7, 0, None, 4, 2, 4, 5]","[9, 8, 7, 9, 0, None, 7, 0, 4, 5]",6,6,7,5,0.00016690208576619625,0.17462136317044497
"[7, 2, 9, 1, 7, 0, None, 9, 3, 6]","[8, 2, 9, 4, 7, 0, 9, 1, None, 8]",6,6,9,6,0.0001746669877320528,1.4173566161189228
"[3, 7, 0, 4, None, 8, 2, 3, 1, 0]","[None, 3, 3, 0, 2, 8, 2, 3, 4, 1]",6,6,6,5,0.00017383485101163387,0.17974853795021772
"[1, 3, 5, None, 1, 8, 8, 1, 0, 0]","[1, 3, 5, None, 1, 8, 8, 1, 7, 1]",6,6,1,2,0.00018521584570407867,7.82497227191925e-06
"[9, None, 0, 6, 9, 0, 7, 1, 4, 3]","[1, 9, 0, 7, 3, None, 7, 5, 1, 3]",6,6,8,6,0.0001609909813851118,1.3765418520197272
"[1, 5, 8, 4, 0, 2, 4, 9, None, 1]","[1, 5, 8, 1, 0, 2, 0, 3, None, 4]",6,6,6,3,0.0002124370075762272,0.0014362649526447058
"[9, 3, 1, 0, 7, 6, None, 6, 7, 5]","[9, 0, 7, 0, 8, 7, None, 6, 7, 5]",6,6,8,4,0.00015997886657714844,0.01745300693437457
"[5, 6, 7, 9, 2, 3, None, 1, 0, 4]","[7, 8, 5, 9, 6, 3, None, 5, 2, 4]",6,6,6,5,0.00017880508676171303,0.17357163014821708
"[7, 4, 1, 4, None, 7, 8, 9, 3, 4]","[7, 9, 6, 4, None, 3, 8, 4, 3, 4]",6,6,8,4,0.00016781315207481384,0.01752681494690478
"[8, 2, 3, 9, 7, 1, 7, 2, 6, None]","[8, 2, 3, 9, 7, 7, 4, 2, 2, None]",6,6,10,3,0.00017668097279965878,0.001315089175477624
"[9, 8, None, 4, 2, 6, 7, 3, 3, 8]","[None, 8, 5, 4, 0, 6, 8, 3, 3, 8]",6,6,3,4,0.00017800205387175083,0.018208809895440936
"[1, 9, None, 9, 5, 0, 7, 4, 3, 2]","[1, 9, None, 9, 6, 4, 1, 3, 0, 2]",6,6,7,5,0.0001784639898687601,0.17350373300723732
